V1,V2,V3
-9.99320388349514,58.4,-1877.89758300781
-9.94258663083982,58.4,-1884.36755371094
-9.89196937818449,58.4,-1873.017578125
-9.84135212552916,58.4,-1846.83752441406
-9.79073487287384,58.4,-1781.21752929688
-9.74011762021851,58.4,-1617.48754882812
-9.68950036756318,58.4,-1314.07751464844
-9.63888311490786,58.4,-1135.66748046875
-9.58826586225253,58.4,-981.669982910156
-9.5376486095972,58.4,-924.25
-9.48703135694187,58.4,-773.719970703125
-9.43641410428655,58.4,-690.369995117188
-9.38579685163122,58.4,-610.109985351562
-9.33517959897589,58.4,-580.282470703125
-9.28456234632056,58.4,-516.402526855469
-9.23394509366524,58.4,-494.462493896484
-9.18332784100991,58.4,-451.142486572266
-9.13271058835458,58.4,-433.792510986328
-9.08209333569926,58.4,-408.467529296875
-9.03147608304393,58.4,-394.107543945312
-8.9808588303886,58.4,-368.947540283203
-8.93024157773328,58.4,-357.387542724609
-8.87962432507795,58.4,-334.9775390625
-8.82900707242262,58.4,-326.517547607422
-8.77838981976729,58.4,-306.072540283203
-8.72777256711197,58.4,-295.512542724609
-8.67715531445664,58.4,-272.392517089844
-8.62653806180131,58.4,-258.492523193359
-8.57592080914599,58.4,-224.792526245117
-8.52530355649066,58.4,-208.157501220703
-8.47468630383533,58.4,-183.527496337891
-8.42406905118,58.4,-175.777496337891
-8.37345179852468,58.4,-165.757507324219
-8.32283454586935,58.4,-169.267501831055
-8.27221729321402,58.4,-164.97248840332
-8.2216000405587,58.4,-161.732482910156
-8.17098278790337,58.4,-152.572479248047
-8.12036553524804,58.4,-146.702484130859
-8.06974828259271,58.4,-145.032485961914
-8.01913102993739,58.4,-139.324996948242
-7.96851377728206,58.4,-136.235000610352
-7.91789652462673,58.4,-124.154998779297
-7.86727927197141,58.4,-121.904998779297
-7.81666201931608,58.4,-116.305000305176
-7.76604476666075,58.4,-112.065002441406
-7.71542751400542,58.4,-105.452499389648
-7.6648102613501,58.4,-104.462501525879
-7.61419300869477,58.4,-100.212501525879
-7.56357575603944,58.4,-96.6025009155273
-7.51295850338412,58.4,-87.7525024414062
-7.46234125072879,58.4,-86.3249969482422
-7.41172399807346,58.4,-89.8649978637695
-7.36110674541813,58.4,-93.5449981689453
-7.31048949276281,58.4,-103.764999389648
-7.25987224010748,58.4,-104.794998168945
-7.20925498745215,58.4,-102.44792175293
-7.15863773479683,58.4,-93.9079208374023
-7.1080204821415,58.4,-87.7879257202148
-7.05740322948617,58.4,-77.2579193115234
-7.00678597683084,58.4,-61.5779228210449
-6.95616872417552,58.4,-56.2779235839844
-6.90555147152019,58.4,-50.486026763916
-6.85493421886486,58.4,-50.1960258483887
-6.80431696620954,58.4,-46.7560272216797
-6.75369971355421,58.4,-44.9760246276855
-6.70308246089888,58.4,-38.7060241699219
-6.65246520824356,58.4,-35.1580543518066
-6.60184795558823,58.4,-27.6380558013916
-6.5512307029329,58.4,-17.5580558776855
-6.50061345027757,58.4,42.051944732666
-6.44999619762225,58.4,54.2919464111328
-6.39937894496692,58.4,85.9794769287109
-6.34876169231159,58.4,137.769470214844
-6.29814443965626,58.4,117.919479370117
-6.24752718700094,58.4,67.5594787597656
-6.19690993434561,58.4,-21.3305244445801
-6.14629268169028,58.4,-48.4698219299316
-6.09567542903496,58.4,-66.9598236083984
-6.04505817637963,58.4,-95.1598205566406
-5.9944409237243,58.4,-101.239822387695
-5.94382367106898,58.4,-104.629821777344
-5.89320641841365,58.4,-105.649826049805
-5.84258916575832,58.4,-103.588516235352
-5.79197191310299,58.4,-106.64852142334
-5.74135466044767,58.4,-109.378517150879
-5.69073740779234,58.4,-108.358520507812
-5.64012015513701,58.4,-104.15852355957
-5.58950290248169,58.4,-104.620826721191
-5.53888564982636,58.4,-111.350830078125
-5.48826839717103,58.4,-113.720825195312
-5.4376511445157,58.4,-93.6908264160156
-5.38703389186038,58.4,-93.6308288574219
-5.33641663920505,58.4,-74.6654510498047
-5.28579938654972,58.4,-64.4954528808594
-5.2351821338944,58.4,-35.3554534912109
-5.18456488123907,58.4,2.99454617500305
-5.13394762858374,58.4,82.7145462036133
-5.08333037592841,58.4,48.1245460510254
-5.03271312327309,58.4,72.9002990722656
-4.98209587061776,58.4,106.47029876709
-4.93147861796243,58.4,236.89030456543
-4.88086136530711,58.4,325.530303955078
-4.83024411265178,58.4,371.400299072266
-4.77962685999645,58.4,303.968322753906
-4.72900960734112,58.4,304.228302001953
-4.6783923546858,58.4,325.648315429688
-4.62777510203047,58.4,296.858306884766
-4.57715784937514,58.4,289.788299560547
-4.52654059671982,58.4,156.797500610352
-4.47592334406449,58.4,353.827514648438
-4.42530609140916,58.4,348.487487792969
-4.37468883875383,58.4,124.107498168945
-4.32407158609851,58.4,166.127502441406
-4.27345433344318,58.4,144.3232421875
-4.22283708078785,58.4,92.2432403564453
-4.17221982813253,58.4,208.713241577148
-4.1216025754772,58.4,273.503234863281
-4.07098532282187,58.4,263.393249511719
-4.02036807016654,58.4,221.253234863281
-3.96975081751122,58.4,183.575241088867
-3.91913356485589,58.4,161.025238037109
-3.86851631220056,58.4,180.195251464844
-3.81789905954524,58.4,192.095245361328
-3.76728180688991,58.4,170.605239868164
-3.71666455423458,58.4,165.620910644531
-3.66604730157925,58.4,145.140914916992
-3.61543004892393,58.4,132.370910644531
-3.5648127962686,58.4,133.240921020508
-3.51419554361327,58.4,137.230911254883
-3.46357829095795,58.4,127.333213806152
-3.41296103830262,58.4,116.483215332031
-3.36234378564729,58.4,125.87321472168
-3.31172653299197,58.4,129.133209228516
-3.26110928033664,58.4,112.993209838867
-3.21049202768131,58.4,125.593215942383
-3.15987477502598,58.4,69.765754699707
-3.10925752237066,58.4,44.8057518005371
-3.05864026971533,58.4,-56.0742492675781
-3.00802301706,58.4,-66.974250793457
-2.95740576440468,58.4,-68.4542465209961
-2.90678851174935,58.4,-70.9442138671875
-2.85617125909402,58.4,-63.7142105102539
-2.80555400643869,58.4,-61.7542114257812
-2.75493675378337,58.4,-61.1042098999023
-2.70431950112804,58.4,-62.3442115783691
-2.65370224847271,58.4,-58.3350105285645
-2.60308499581738,58.4,-50.1250114440918
-2.55246774316206,58.4,-60.8250122070312
-2.50185049050673,58.4,-61.5850105285645
-2.4512332378514,58.4,-67.0850143432617
-2.40061598519608,58.4,-62.3737678527832
-2.34999873254075,58.4,-60.5637664794922
-2.29938147988542,58.4,-66.1337661743164
-2.2487642272301,58.4,-69.6637649536133
-2.19814697457477,58.4,-77.2837677001953
-2.14752972191944,58.4,-80.3737640380859
-2.09691246926411,58.4,-86.4306640625
-2.04629521660879,58.4,-86.2206649780273
-1.99567796395346,58.4,-92.9806671142578
-1.94506071129813,58.4,-93.2106704711914
-1.89444345864281,58.4,-93.7406692504883
-1.84382620598748,58.4,-98.6350021362305
-1.79320895333215,58.4,-100.375
-1.74259170067682,58.4,-101.514999389648
-1.6919744480215,58.4,-106.915000915527
-1.64135719536617,58.4,-109.834999084473
-1.59073994271084,58.4,-106.949996948242
-1.54012269005552,58.4,-92.3899993896484
-1.48950543740019,58.4,-99.3899993896484
-1.43888818474486,58.4,-102.169998168945
-1.38827093208953,58.4,-102.159996032715
-1.33765367943421,58.4,-102.430000305176
-1.28703642677888,58.4,-102.517501831055
-1.23641917412355,58.4,-101.267501831055
-1.18580192146823,58.4,-96.9974975585938
-1.1351846688129,58.4,-100.117500305176
-1.08456741615757,58.4,-101.627494812012
-1.03395016350225,58.4,-93.1224975585938
-0.983332910846917,58.4,-95.2125015258789
-0.93271565819159,58.4,-108.202499389648
-0.882098405536263,58.4,-109.242500305176
-0.831481152880936,58.4,-109.182502746582
-0.78086390022561,58.4,-109.110000610352
-0.730246647570281,58.4,-106.040000915527
-0.679629394914954,58.4,-111.589996337891
-0.629012142259628,58.4,-119.900001525879
-0.578394889604301,58.4,-120.650001525879
-0.527777636948974,58.4,-129.627502441406
-0.477160384293645,58.4,-134.527496337891
-0.426543131638319,58.4,-130.397491455078
-0.375925878982992,58.4,-128.577499389648
-0.325308626327665,58.4,-126.077499389648
-0.274691373672338,58.4,-121.4375
-0.224074121017011,58.4,-127.642501831055
-0.173456868361683,58.4,-126.922500610352
-0.122839615706356,58.4,-129.682495117188
-0.0722223630510292,58.4,-130.822494506836
-0.0216051103957025,58.4,-134.402496337891
0.0290121422596243,58.4,-135.387496948242
0.0796293949149529,58.4,-138.077499389648
0.13024664757028,58.4,-139.707504272461
0.180863900225606,58.4,-140.217498779297
0.231481152880933,58.4,-140.847503662109
0.28209840553626,58.4,-141.345001220703
0.332715658191587,58.4,-141.584991455078
0.383332910846915,58.4,-142.645004272461
0.433950163502242,58.4,-143.264999389648
0.484567416157569,58.4,-145.324996948242
0.535184668812896,58.4,-146.044998168945
0.585801921468223,58.4,-147.169998168945
0.636419174123551,58.4,-145.770004272461
0.687036426778878,58.4,-144.550003051758
0.737653679434205,58.4,-145.580001831055
0.788270932089532,58.4,-145.339996337891
0.838888184744858,58.4,-140.345001220703
0.889505437400185,58.4,-137.824996948242
0.940122690055514,58.4,-134.524993896484
0.990739942710841,58.4,-135.404998779297
1.04135719536617,58.4,-139.554992675781
1.09197444802149,58.4,-139.897491455078
1.14259170067682,58.4,-132.877502441406
1.19320895333215,58.4,-131.137496948242
1.24382620598748,58.4,-129.887496948242
1.2944434586428,58.4,-129.107498168945
1.34506071129813,58.4,-126.577499389648
1.39567796395346,58.4,-124.467498779297
1.44629521660878,58.4,-121.497497558594
1.49691246926411,58.4,-119.547500610352
1.54752972191944,58.4,-115.117500305176
1.59814697457477,58.4,-113.057502746582
1.64876422723009,58.4,-108.845001220703
1.69938147988542,58.4,-106.764999389648
1.74999873254075,58.4,-102.754997253418
1.80061598519607,58.4,-100.354995727539
1.8512332378514,58.4,-91.4850006103516
1.90185049050673,58.4,-85.9075012207031
1.95246774316205,58.4,-81.1674957275391
2.00308499581738,58.4,-80.0475006103516
2.05370224847271,58.4,-80.2474975585938
2.10431950112804,58.4,-81.4174957275391
2.15493675378336,58.4,-84.3125
2.20555400643869,58.4,-84.5124969482422
2.25617125909402,58.4,-84.2825012207031
2.30678851174935,58.4,-81.5124969482422
2.35740576440467,58.4,-79.2324981689453
2.40802301706,58.4,-73.6224975585938
2.45864026971533,58.4,-71.8424987792969
2.50925752237065,58.4,-70.8824996948242
2.55987477502598,58.4,-70.7224960327148
2.61049202768131,58.4,-69.942497253418
2.66110928033664,58.4,-70.6725006103516
2.71172653299196,58.4,-77.8550033569336
2.76234378564729,58.4,-81.9749984741211
2.81296103830262,58.4,-90.1050033569336
2.86357829095794,58.4,-93.1650009155273
2.91419554361327,58.4,-98.625
2.9648127962686,58.4,-99.6875
3.01543004892392,58.4,-101.377494812012
3.06604730157925,58.4,-103.607498168945
3.11666455423458,58.4,-109.217498779297
3.16728180688991,58.4,-111.657501220703
3.21789905954523,58.4,-112.699996948242
3.26851631220056,58.4,-114.610000610352
3.31913356485589,58.4,-109.299995422363
3.36975081751121,58.4,-106.610000610352
3.42036807016654,58.4,-113.669998168945
3.47098532282187,58.4,-114.669998168945
3.5216025754772,58.4,-114.97233581543
3.57221982813252,58.4,-114.932334899902
3.62283708078785,58.4,-117.97233581543
3.67345433344318,58.4,-120.692337036133
3.72407158609851,58.4,-150.192337036133
3.77468883875383,58.4,-158.709991455078
3.82530609140916,58.4,-151.709991455078
3.87592334406449,58.4,-147.279983520508
3.92654059671981,58.4,-151.879989624023
3.97715784937514,58.4,-153.459991455078
4.02777510203047,58.4,-159.226821899414
4.07839235468579,58.4,-177.506820678711
4.12900960734112,58.4,-209.966827392578
4.17962685999645,58.4,-268.256805419922
4.23024411265178,58.4,-279.816833496094
4.2808613653071,58.4,-294.089599609375
4.33147861796243,58.4,-298.669586181641
4.38209587061776,58.4,-299.669586181641
4.43271312327308,58.4,-297.519592285156
4.48333037592841,58.4,-294.709594726562
4.53394762858374,58.4,-293.949584960938
4.58456488123907,58.4,-292.366851806641
4.63518213389439,58.4,-291.696868896484
4.68579938654972,58.4,-291.556854248047
4.73641663920505,58.4,-290.77685546875
4.78703389186037,58.4,-290.626861572266
4.8376511445157,58.4,-292.236633300781
4.88826839717103,58.4,-295.476623535156
4.93888564982636,58.4,-298.016632080078
4.98950290248168,58.4,-301.736633300781
5.04012015513701,58.4,-304.976623535156
5.09073740779234,58.4,-310.679473876953
5.14135466044766,58.4,-312.369476318359
5.19197191310299,58.4,-316.629486083984
5.24258916575832,58.4,-319.279479980469
5.29320641841364,58.4,-323.279479980469
5.34382367106897,58.4,-325.909484863281
5.3944409237243,58.4,-329.605621337891
5.44505817637963,58.4,-334.535614013672
5.49567542903495,58.4,-340.135620117188
5.54629268169028,58.4,-335.625610351562
5.59690993434561,58.4,-336.805633544922
5.64752718700094,58.4,-337.181396484375
5.69814443965626,58.4,-331.381408691406
5.74876169231159,58.4,-325.961395263672
5.79937894496692,58.4,-265.091400146484
5.84999619762224,58.4,-157.411407470703
5.90061345027757,58.4,-147.615341186523
5.9512307029329,58.4,-66.2253341674805
6.00184795558823,58.4,-58.9353332519531
6.05246520824355,58.4,19.8946647644043
6.10308246089888,58.4,38.4946670532227
6.15369971355421,58.4,150.275192260742
6.20431696620953,58.4,188.215194702148
6.25493421886486,58.4,168.595199584961
6.30555147152019,58.4,175.125198364258
6.35616872417551,58.4,189.265197753906
6.40678597683084,58.4,212.135192871094
6.45740322948617,58.4,312.185974121094
6.5080204821415,58.4,377.985961914062
6.55863773479683,58.4,307.85595703125
6.60925498745215,58.4,184.385971069336
6.65987224010748,58.4,273.335968017578
6.7104894927628,58.4,288.905334472656
6.76110674541813,58.4,276.525329589844
6.81172399807346,58.4,256.915344238281
6.86234125072879,58.4,195.415328979492
6.91295850338411,58.4,328.865325927734
6.96357575603944,58.4,214.007263183594
7.01419300869477,58.4,287.67724609375
7.06481026135009,58.4,381.827270507812
7.11542751400542,58.4,437.67724609375
7.16604476666075,58.4,467.277252197266
7.21666201931608,58.4,388.287261962891
7.2672792719714,58.4,328.971038818359
7.31789652462673,58.4,399.531036376953
7.36851377728206,58.4,316.731048583984
7.41913102993739,58.4,177.231033325195
7.46974828259271,58.4,363.881042480469
7.52036553524804,58.4,282.033569335938
7.57098278790336,58.4,201.773559570312
7.62160004055869,58.4,395.743560791016
7.67221729321402,58.4,370.043548583984
7.72283454586935,58.4,298.513549804688
7.77345179852468,58.4,264.769744873047
7.82406905118,58.4,297.589752197266
7.87468630383533,58.4,239.799743652344
7.92530355649065,58.4,166.509750366211
7.97592080914598,58.4,269.099731445312
8.02653806180131,58.4,284.466430664062
8.07715531445664,58.4,240.99641418457
8.12777256711196,58.4,232.65641784668
8.17838981976729,58.4,204.686416625977
8.22900707242262,58.4,244.316421508789
8.27962432507795,58.4,171.596420288086
8.33024157773327,58.4,235.929260253906
8.3808588303886,58.4,244.639251708984
8.43147608304393,58.4,176.779251098633
8.48209333569925,58.4,159.729248046875
8.53271058835458,58.4,59.179256439209
8.58332784100991,58.4,46.9152450561523
8.63394509366524,58.4,64.6552429199219
8.68456234632056,58.4,41.8352470397949
8.73517959897589,58.4,-29.1747531890869
8.78579685163122,58.4,-26.7847537994385
8.83641410428654,58.4,-77.1516342163086
8.88703135694187,58.4,-104.131637573242
8.9376486095972,58.4,-169.861633300781
8.98826586225253,58.4,-228.181640625
9.03888311490785,58.4,-323.961639404297
9.08950036756318,58.4,-374.91162109375
9.14011762021851,58.4,-386.863647460938
9.19073487287383,58.4,-398.99365234375
9.24135212552916,58.4,-404.693634033203
9.29196937818449,58.4,-413.673645019531
9.34258663083981,58.4,-424.593627929688
9.39320388349514,58.4,-484.497375488281
-9.99320388349514,58.3492682926829,-1889.15747070312
-9.94258663083982,58.3492682926829,-1859.4375
-9.89196937818449,58.3492682926829,-1835.63757324219
-9.84135212552916,58.3492682926829,-1831.71752929688
-9.79073487287384,58.3492682926829,-1716.38757324219
-9.74011762021851,58.3492682926829,-1488.94750976562
-9.68950036756318,58.3492682926829,-1085.19750976562
-9.63888311490786,58.3492682926829,-975.357543945312
-9.58826586225253,58.3492682926829,-827.529968261719
-9.5376486095972,58.3492682926829,-695.719970703125
-9.48703135694187,58.3492682926829,-611.169982910156
-9.43641410428655,58.3492682926829,-577.859985351562
