"Type","Year","DensityMass","DensityMassLow","DensityMassHigh","DensityNumbers","DensityNumbersLow","DensityNumbersHigh","DensityProb","DensityProbLow","DensityProbHigh"
"Glass","2015",0.145251199430866,0.0854180527200498,0.446054490928207,1.78791346517849,1.38962638928253,2.88400206135432,0.0774800368617732,0.0671335651606304,0.0933708419865309
"Glass","2016",0.160472355455783,0.101521205480989,0.449826164572576,1.78793398440641,1.40455241904076,2.91202826324079,0.0774805865744947,0.0677690270147979,0.0939798242208441
"Glass","2017",0.202988865548708,0.149594312661176,0.539016083969991,1.78798579477776,1.43001185853029,2.8649706719183,0.0774819745644958,0.0683154827137408,0.0932563337773294
"Glass","2018",0.258599344161284,0.187430727520414,0.656352401349824,1.7880510386971,1.39664085235996,2.85999839150797,0.0774837224032189,0.0670515805902201,0.0933011421163113
"Glass","2019",0.312047729826273,0.231903008530536,0.766654213721927,1.78811369176225,1.41013728828917,2.88717505238024,0.0774854007996574,0.0675153891594166,0.0942670640030518
"Glass","2020",0.271905998767625,0.200966489020948,0.656658022908741,1.78808449479493,1.38778065954642,2.83337176553588,0.0774846186540815,0.0667643808198568,0.0928168579568142
"Glass","2021",0.243875172668996,0.170000513091218,0.639926455083721,1.78801745603662,1.44755971412089,2.87525959257143,0.0774828227520188,0.0679586059165628,0.0937707912414533
"Metal","2015",0.162267242547421,0.124675547046055,0.430565586019163,1.76591240334718,1.52055294615778,2.15301401825538,0.132091196974423,0.116489947244884,0.154398940749808
"Metal","2016",0.162525215590753,0.129253888907176,0.413137308186891,1.7659140742688,1.53267822946021,2.15849759166824,0.132091304460356,0.116506397836599,0.15474803269032
"Metal","2017",0.163130342407278,0.130639339237535,0.385872500770392,1.76591402861055,1.5518838949459,2.14796249048722,0.132091301523283,0.117922541076137,0.154321866103089
"Metal","2018",0.16428220393315,0.133858998129884,0.413465573078805,1.76590535214917,1.53719469113843,2.19348846017667,0.132090743389339,0.117021540972642,0.155957133518836
"Metal","2019",0.16685042149201,0.135499678226141,0.401131988219994,1.76589998365087,1.55720052434416,2.14115022573753,0.132090398047581,0.117821130942881,0.153546798302745
"Metal","2020",0.170083714759472,0.135213243238187,0.406003139423217,1.76590823575907,1.53374140076032,2.1554130062564,0.132090928884465,0.116523561782904,0.153581455599092
"Metal","2021",0.172946002137809,0.13692958033384,0.42353180320122,1.76591507752326,1.52958354653951,2.14953186650356,0.132091368997028,0.116313866168381,0.154302457054887
"Natural","2015",2.72870446920545,1.82664631407889,5.77197387729134,4.05157077672889,3.65078713210457,5.31939096266202,0.166543921974997,0.152590410368442,0.187099339940802
"Natural","2016",2.30402549800348,1.62130130266373,4.53973885362734,4.05146682043576,3.72410581290453,5.30214464242596,0.166541490534168,0.153966857815667,0.186426737558957
"Natural","2017",1.35231611593035,1.03972515936045,2.52841915884641,4.0508373224295,3.67639081907064,5.25111313863118,0.166526766195684,0.15347132467577,0.186646230223659
"Natural","2018",0.91873249941837,0.721785570240767,1.61965707707856,4.05008568064045,3.68407163756938,5.28981499482895,0.166509182666465,0.152581998954276,0.185606242508985
"Natural","2019",1.00484390795114,0.813111450742532,1.77297944285737,4.05017873919436,3.64124046224811,5.32209842299011,0.166511359759735,0.15209129541333,0.186927879602435
"Natural","2020",1.00133676420018,0.820387761261737,1.7823095708458,4.05013915910797,3.67661168682764,5.25385710571736,0.166510433792981,0.15180798967824,0.185798269392204
"Natural","2021",0.870400427778841,0.707295992385888,1.54601177686192,4.05020258673992,3.67238194324026,5.34232702742755,0.166511917664252,0.152853391496878,0.185547836976566
"Other","2015",0.0763965541016052,0.0375052482920039,0.236701678253021,3.26297592387339,2.31460251803272,5.33313346637344,0.161018326195605,0.127088638500064,0.212956982854094
"Other","2016",0.23909456531288,0.14227571432559,0.5546023431399,4.92783308398289,3.88674345055012,7.16912367757691,0.206315325208387,0.178691112983421,0.244539490455333
"Other","2017",1.56808931240166,1.16525591880647,3.20852714698989,9.42494302050474,7.64335016039225,12.8655202111127,0.289864205896675,0.259981873620331,0.323526568209781
"Other","2018",1.9279999258351,1.46872831263102,3.78658962459016,8.05583692946131,6.55715755910287,10.7962102734364,0.268404931852942,0.242575537270493,0.300594590402275
"Other","2019",2.37706373603486,1.88490386015314,4.50703726552961,7.18093611262154,5.83317066455692,9.64467369994635,0.253158392373593,0.227426067008199,0.283325523292841
"Other","2020",0.677245950239717,0.511283541158592,1.34652734523228,5.16896329938276,4.1502483522844,7.16066206009119,0.211981233183448,0.187504781175993,0.243351919311389
"Other","2021",0.737178219049996,0.557891481433512,1.41801449647088,4.81560195996332,3.83682945179533,6.73730231177423,0.203612985240134,0.179678774936142,0.237354571131768
"Plastic","2015",0.813576619267517,0.632432861370541,1.15175360209056,39.8301918248647,34.5188274622192,47.145163383274,0.782553906862355,0.752464474545842,0.806447745257668
"Plastic","2016",1.28646347485983,1.09219159296413,1.69747296640464,46.2984686702233,41.5752801589488,52.9444741408018,0.808948654442967,0.787217956119723,0.82442545834771
"Plastic","2017",2.39313733480114,2.07926841218101,3.12962766875176,56.8619310811933,52.0225061435941,64.6651789088428,0.841251287466814,0.823562836091199,0.853367047757651
"Plastic","2018",2.54243938012044,2.24781220763558,3.26373197352089,48.4753230349746,44.8392651708879,54.0737155384759,0.81654605998881,0.799691788343566,0.829804367333692
"Plastic","2019",3.76184949381258,3.35586779878873,4.78719017890748,51.9579767690556,48.3414531505056,58.0734810528972,0.827607788567743,0.811794735993581,0.839436494614809
"Plastic","2020",1.82572609493605,1.6288380754492,2.3182113635029,62.2605677520026,57.4546546327382,69.147473359111,0.854141252855804,0.839392175242225,0.864827676065506
"Plastic","2021",1.7027371387895,1.52120536267651,2.21599147411096,53.5695382678633,49.5004325121373,59.8649862105439,0.832321421913712,0.815946156680366,0.844409335543678
"Rubber","2015",0.23578699951486,0.139108152684362,0.566354018638007,3.66495325786435,3.21591962418843,4.51754008241902,0.223887769204054,0.206087243045445,0.251592591410612
"Rubber","2016",0.343570067771388,0.236263747657413,0.6773603861293,3.66505537883814,3.27602794194381,4.50712322907726,0.223892293448434,0.206039631463267,0.249922025211146
"Rubber","2017",0.751681463332175,0.551362295213052,1.39576621697973,3.66519487015756,3.29638401668519,4.50659336470816,0.223898473199594,0.20702880504881,0.249540346649211
"Rubber","2018",1.40337144789969,1.11541088069126,2.44073714931192,3.66518763057329,3.26747564102488,4.48792828809017,0.223898152474135,0.20634405849505,0.250390077616001
"Rubber","2019",1.65362348608887,1.36134126798547,2.85765043434886,3.66548153667451,3.32409064399884,4.47122743274276,0.223911172736805,0.207830273809926,0.24904123651608
"Rubber","2020",0.603066052991923,0.490986850345991,1.08739003812717,3.66597296965207,3.29306349842661,4.4990522035603,0.223932942399751,0.206984922478187,0.25009728226415
"Rubber","2021",0.628989407888333,0.481218454582835,1.10088442270778,3.66632567700578,3.2696580829157,4.51873583644496,0.223948565830672,0.206730990590183,0.250040737941229
"SUP","2015",0.423698515735477,0.310863286938407,0.656132980018322,13.1945837731024,11.2163229011347,16.3856365514667,0.522750206613258,0.478672876759256,0.566657944640895
"SUP","2016",0.567510747912787,0.451956371520439,0.785831185030804,15.4255760239781,13.5342475587415,18.2868551531975,0.561721888633326,0.527860945815845,0.593110266597966
"SUP","2017",0.871475567090732,0.71760755878474,1.20680292919502,18.312725263492,16.3629789358765,21.4350288100532,0.603915344873623,0.573612789909235,0.633383837198267
"SUP","2018",1.01520119432928,0.860681705828539,1.34966908549368,15.2574350621724,13.7409982225723,17.8795429788923,0.558999289062272,0.530195499438259,0.587696731921421
"SUP","2019",1.26857071591451,1.09401830001558,1.71745501584931,16.1406798828379,14.6235079546568,18.9080640137678,0.572950375998045,0.546177347488258,0.601615586200251
